Time[s],XJ3_ACAN_CMX_V0.96::BCS_2_A::BCS_VehSpd[km/h],XJ3_ACAN_CMX_V0.96::EPS_1::EPS_StrngWhlTorq[Nm]
279.790671,,1.5
279.796313,26.83125,
279.806151,26.83125,
279.810817,,1.4
279.816291,26.71875,
279.826147,26.6625,
279.830573,,1.3
279.836303,26.60625,
279.846149,26.60625,
279.850589,,1.3
279.856303,26.60625,
279.866147,26.71875,
279.870828,,1.3
279.876326,26.775,
279.886144,26.83125,
279.890649,,1.2
279.896328,26.83125,
279.906149,26.83125,
279.910806,,1
279.916315,26.775,
279.926153,26.6625,
279.930647,,0.9
279.936331,26.6625,
279.946151,26.6625,
279.950555,,0.8
279.956305,26.6625,
279.966156,26.6625,
279.970841,,0.8
279.976321,26.6625,
279.986167,26.71875,
279.99068,,0.7
279.996325,26.71875,
280.00615,26.71875,
280.010778,,0.8
280.016322,26.71875,
280.026165,26.71875,
280.030546,,0.7
280.03633,26.6625,
280.046161,26.6625,
280.05054,,0.6
280.056322,26.6625,
280.066171,26.6625,
280.070792,,0.4
280.076322,26.6625,
280.086167,26.6625,
280.090665,,0.4
280.096337,26.6625,
280.106166,26.6625,
280.110763,,0.5
280.11631,26.6625,
280.12618,26.6625,
280.130541,,0.5
280.136305,26.6625,
280.146161,26.6625,
280.150539,,0.5
280.156305,26.6625,
280.166172,26.71875,
280.17075,,0.3
280.176305,26.775,
280.186161,26.775,
280.190513,,0.2
280.196334,26.71875,
280.206173,26.6625,
280.210745,,0.4
280.216323,26.60625,
280.226168,26.60625,
280.230614,,0.5
280.236351,26.60625,
280.246073,26.60625,
280.250501,,0.3
280.256322,26.6625,
280.266155,26.6625,
280.270739,,0
280.276282,26.71875,
280.286165,26.71875,
280.290498,,0
280.296339,26.71875,
280.306174,26.71875,
280.310998,,0.2
280.316338,26.6625,
280.326155,26.6625,
280.330619,,0.3
280.336361,26.6625,
280.346171,26.6625,
280.350513,,0
280.356305,26.6625,
280.366183,26.6625,
280.370714,,0
280.376315,26.6625,
280.386083,26.6625,
280.390515,,0
280.39627,26.6625,
280.406185,26.6625,
280.410707,,0.1
280.416313,26.6625,
280.426151,26.6625,
280.430546,,0
280.436314,26.6625,
280.44617,26.71875,
280.450472,,0
280.456314,26.71875,
280.466137,26.71875,
280.4707,,0
280.476309,26.71875,
280.486141,26.71875,
280.490515,,0
280.496327,26.71875,
280.506147,26.71875,
280.510493,,0
280.516323,26.71875,
280.526164,26.71875,
280.530602,,0
280.536322,26.71875,
280.546184,26.71875,
280.550464,,0
280.55632,26.71875,
280.566162,26.71875,
280.570693,,0
280.576306,26.71875,
280.586178,26.775,
280.59048,,0
280.596327,26.775,
280.606169,26.775,
280.610676,,0
280.616308,26.775,
280.626167,26.775,
280.630551,,0
280.636339,26.775,
280.646192,26.775,
280.650496,,0
280.656332,26.775,
280.666172,26.775,
280.670678,,0
280.676341,26.775,
280.686161,26.775,
280.690477,,0
280.696312,26.775,
280.706161,26.775,
280.710673,,0
280.716333,26.775,
280.726184,26.775,
280.730552,,0.1
280.736328,26.83125,
280.746162,26.8875,
280.750475,,0
280.756321,26.8875,
280.766173,26.8875,
280.770414,,0
280.776321,26.8875,
280.786159,26.8875,
280.790481,,0
280.796337,26.8875,
280.80617,26.8875,
280.810408,,0
280.816306,26.8875,
280.826163,26.8875,
280.830555,,0
280.836325,26.8875,
280.84621,26.8875,
280.850471,,0.1
280.85633,26.8875,
280.866182,26.8875,
280.870411,,0
280.876322,26.8875,
280.886152,26.8875,
280.890489,,0
280.896226,26.8875,
280.906175,26.8875,
280.910383,,0.1
280.916327,26.8875,
280.926164,26.8875,
280.930565,,0.1
280.936347,26.8875,
280.946181,26.8875,
280.950475,,0
280.956339,26.8875,
280.966032,26.8875,
280.970361,,0
280.976226,26.8875,
280.986038,26.8875,
280.990596,,0
280.996237,26.8875,
281.006062,26.8875,
281.010354,,0
281.016266,26.8875,
281.026038,26.8875,
281.030561,,0.1
281.036343,26.8875,
281.046183,26.8875,
281.050473,,0
281.056329,26.8875,
281.066161,26.8875,
281.070343,,0
281.07631,26.8875,
281.086163,26.8875,
281.090486,,0
281.096348,26.94375,
281.106179,26.94375,
281.11034,,0
281.116321,26.94375,
281.126176,26.94375,
281.130559,,0
281.136332,26.94375,
281.146205,26.94375,
281.150479,,0
281.156241,26.94375,
281.16604,26.94375,
281.170431,,0
281.176241,26.94375,
281.186025,26.94375,
281.190698,,0
281.196239,27,
281.20605,27,
281.210327,,0
281.216282,27,
281.226035,27.05625,
281.230565,,0
281.236247,27.05625,
281.24599,27.05625,
281.250507,,0
281.256246,27.05625,
281.266026,27.05625,
281.270429,,0
281.276243,27.05625,
281.286065,27.05625,
281.290673,,0
281.296256,27.05625,
281.306081,27.1125,
281.311022,,0.1
281.316245,27.1125,
281.326033,27.1125,
281.330538,,0.1
281.336272,27.1125,
281.345968,27.16875,
281.350502,,0.2
281.356253,27.16875,
281.36605,27.16875,
281.370446,,0.2
281.376233,27.16875,
281.386043,27.16875,
281.390679,,0.2
281.396263,27.16875,
281.406042,27.16875,
281.410315,,0.3
281.416244,27.16875,
281.426073,27.16875,
281.430534,,0.4
281.436241,27.225,
281.44597,27.225,
281.450511,,0.2
281.456253,27.225,
281.466041,27.225,
281.470448,,0
281.476248,27.225,
281.486083,27.225,
281.490693,,0
281.496259,27.225,
281.506047,27.225,
281.510258,,0.1
281.516281,27.225,
281.526061,27.28125,
281.530505,,0.1
281.536265,27.28125,
281.545958,27.28125,
281.550513,,0.1
281.556255,27.28125,
281.56606,27.28125,
281.570458,,0.1
281.576251,27.28125,
281.586039,27.3375,
281.590704,,0.2
281.59625,27.3375,
281.606087,27.3375,
281.610238,,0.3
281.616214,27.3375,
281.626045,27.3375,
281.630492,,0.5
281.636292,27.3375,
281.646053,27.3375,
281.650496,,0.5
281.656246,27.39375,
281.666067,27.39375,
281.670449,,0
281.676236,27.39375,
281.686029,27.39375,
281.690705,,-0.2
281.696277,27.39375,
281.706051,27.39375,
281.71022,,-0.4
281.71627,27.45,
281.726063,27.45,
281.730471,,-0.1
281.736271,27.45,
281.746,27.45,
281.750479,,0.1
281.756241,27.45,
281.766043,27.45,
281.770428,,0
281.776276,27.45,
281.786064,27.45,
281.790704,,0
281.796253,27.45,
281.806063,27.50625,
281.810218,,0
281.816227,27.50625,
281.826055,27.50625,
281.830458,,0
281.836336,27.50625,
281.846219,27.50625,
281.850466,,0
281.856309,27.5625,
281.866211,27.5625,
281.870223,,0
281.876346,27.5625,
281.88618,27.5625,
281.890468,,0
281.896324,27.5625,
281.90619,27.5625,
281.910195,,0
281.916367,27.5625,
281.926196,27.5625,
281.930547,,0.1
281.936361,27.5625,
281.946232,27.5625,
281.950476,,0.2
281.956226,27.61875,
281.966044,27.61875,
281.97042,,0.2
281.976225,27.675,
281.986051,27.675,
281.990696,,0.3
281.996243,27.675,
282.006041,27.675,
282.01018,,0.3
282.016241,27.675,
282.026038,27.675,
282.030418,,0.3
282.036244,27.73125,
282.046014,27.73125,
282.050426,,0.3
282.056249,27.73125,
282.066052,27.73125,
282.070224,,0.4
282.076241,27.73125,
282.086051,27.73125,
282.09047,,0.4
282.096247,27.7875,
282.106037,27.7875,
282.110155,,0.4
282.116249,27.7875,
282.126056,27.7875,
282.130429,,0.4
282.13624,27.7875,
282.146049,27.7875,
282.150421,,0.4
282.156236,27.7875,
282.166021,27.7875,
282.170143,,0.4
282.176234,27.7875,
282.186054,27.7875,
282.190447,,0.4
282.196268,27.7875,
282.206048,27.7875,
282.210136,,0.5
282.216244,27.7875,
282.226049,27.7875,
282.230382,,0.5
282.23626,27.84375,
282.246037,27.84375,
282.250361,,0.5
282.256236,27.84375,
282.266038,27.9,
282.270121,,0.5
282.276246,27.9,
282.28605,27.9,
282.290114,,0.5
282.296258,27.9,
282.306042,27.9,
282.311079,,0.6
282.316238,27.9,
282.326059,27.9,
282.330117,,0.7
282.336271,27.9,
282.34605,27.9,
282.350356,,0.7
282.356249,27.9,
282.366052,27.9,
282.370103,,0.7
282.376248,27.95625,
282.386046,27.95625,
282.390468,,0.7
